ma_phieu,loai_doi_tuong,truong_dai_hoc,khoa_nganh,gioi_tinh,do_tuoi,hoc_vi_hoc_ham,nam_hoc_hoac_nam_giang_day,hieu_biet_phan_mem_phan_tich_1_5,phan_mem_dang_su_dung,tan_suat_su_dung_1_5,muc_do_hai_long_phan_mem_hien_tai_1_5,kho_khan_chinh_khi_su_dung,nhu_cau_phan_tich_noi_dung_van_ban_1_5,nhu_cau_kiem_tra_fact_tu_nguon_khoa_hoc_1_5,nhu_cau_phan_tich_bao_cao_hoc_thuat_1_5,nhu_cau_truc_quan_hoa_du_lieu_1_5,nhu_cau_xuat_bao_cao_tu_dong_1_5,san_sang_su_dung_cong_cu_mien_phi,muc_phi_chap_nhan_usd_thang,danh_gia_tam_quan_trong_ai_trong_giao_duc_1_5,kha_nang_tich_hop_vao_giang_day_1_5,kien_nghi_them,thoi_gian_hoan_thanh_phut
SV0096,Sinh vien,DH Kinh te Quoc dan,Cong nghe thong tin,Nam,20,Dai hoc,2,4,R,3,3,Khong co tai lieu tieng Viet,3,5,5,3,2,Co the,0,5,5,Co huong dan su dung chi tiet,12
SV0199,Sinh vien,DH Quoc gia HN,Quan tri kinh doanh,Nu,22,Dai hoc,5,3,SPSS,3,2,Khong co tai lieu tieng Viet,3,4,3,3,4,Co,5,4,2,Ho tro nhieu dinh dang file,21
SV0092,Sinh vien,DH Hoa Sen,Xa hoi hoc,Nu,18,Dai hoc,5,1,SPSS,2,3,Khong co tai lieu tieng Viet,2,5,2,5,3,Co,5,5,4,Ho tro nhieu dinh dang file,21
GV0073,Giang vien,DH Kinh te Quoc dan,Giao duc hoc,Nu,56,ThS,25,3,SmartPLS,1,1,Khong co tai lieu tieng Viet,3,4,5,4,4,Khong,5,4,5,Co giao dien tieng Viet,19
SV0111,Sinh vien,DH Ton Duc Thang,Xa hoi hoc,Nu,24,Dai hoc,2,4,Excel,4,2,Giao dien phuc tap,5,2,5,4,3,Co,0,5,4,Tich hop AI de goi y phan tich,14
SV0075,Sinh vien,DH Quoc gia HN,Ke toan - Kiem toan,Nam,19,Dai hoc,2,1,Khong su dung,3,4,Khong co kho khan gi,4,4,5,1,3,Co,15,4,3,Tich hop AI de goi y phan tich,11
GV0004,Giang vien,DH Ngoai thuong,Cong nghe thong tin,Nam,47,ThS,17,2,Python,2,3,Khong duoc dao tao su dung,3,4,4,4,3,Co,15,5,5,Co giao dien tieng Viet,27
GV0080,Giang vien,DH Thuong mai,Y khoa,Nam,42,TS,14,2,Khac,5,4,Khong duoc dao tao su dung,4,4,4,3,2,Co,0,5,5,Mien phi cho sinh vien,17
GV0065,Giang vien,DH Can Tho,Ky thuat,Nam,47,TS,16,3,Excel,3,5,Thieu tinh nang can thiet,3,2,5,5,5,Co the,0,4,2,Co giao dien tieng Viet,21
GV0022,Giang vien,DH Quoc gia HN,Cong nghe thong tin,Nu,53,ThS,24,1,Excel,3,3,Khong co tai lieu tieng Viet,3,3,4,5,3,Co the,20,4,2,Co huong dan su dung chi tiet,26
SV0038,Sinh vien,DH Da Nang,Cong nghe thong tin,Nu,18,Dai hoc,4,3,Khong su dung,4,3,Khong co kho khan gi,5,3,2,3,3,Co,0,2,4,Ho tro nhieu dinh dang file,19
SV0113,Sinh vien,DH Hoa Sen,Ngu van,Nam,19,Dai hoc,2,2,Excel,4,3,Khong co kho khan gi,5,3,5,4,4,Co the,5,5,3,Co huong dan su dung chi tiet,19
SV0193,Sinh vien,DH Ton Duc Thang,Quan tri kinh doanh,Nam,18,Dai hoc,2,4,Excel,3,4,Khong co kho khan gi,3,4,1,4,4,Co,10,4,4,Ho tro nhieu dinh dang file,10
SV0103,Sinh vien,DH Hoa Sen,Ngu van,Nam,24,Dai hoc,5,3,SPSS,2,4,Chi phi ban quyen cao,4,4,4,5,2,Co the,15,3,4,Co huong dan su dung chi tiet,13
SV0212,Sinh vien,DH Hoa Sen,Ky thuat,Nam,20,Dai hoc,3,2,R,3,4,Khong co tai lieu tieng Viet,4,4,1,5,3,Co the,5,5,5,Tich hop AI de goi y phan tich,17
SV0122,Sinh vien,DH Kinh te TP.HCM,Khoa hoc may tinh,Nu,19,Dai hoc,2,2,SPSS,1,2,Thieu tinh nang can thiet,4,4,2,3,3,Co,5,3,2,Tich hop AI de goi y phan tich,8
SV0051,Sinh vien,DH Hoa Sen,Khoa hoc may tinh,Nam,22,Dai hoc,5,4,Khong su dung,2,4,Khong co tai lieu tieng Viet,5,3,5,5,4,Co,10,3,4,Co ban bao cao tu dong,14
SV0117,Sinh vien,DH Hoa Sen,Ky thuat,Nam,21,Dai hoc,1,4,Excel,2,5,Chi phi ban quyen cao,5,5,3,5,4,Co,0,5,4,Tich hop AI de goi y phan tich,22
GV0069,Giang vien,DH Hoa Sen,Quan tri kinh doanh,Nam,59,TS,28,4,SPSS,2,4,Thieu tinh nang can thiet,4,4,5,5,5,Co the,0,4,4,Co huong dan su dung chi tiet,22
SV0057,Sinh vien,DH Can Tho,Khoa hoc may tinh,Nu,20,Dai hoc,5,3,Khac,1,3,Khong co tai lieu tieng Viet,4,2,4,4,5,Co,0,3,4,Ho tro nhieu dinh dang file,16
SV0118,Sinh vien,DH Can Tho,Luat,Nam,24,Dai hoc,2,2,Khac,3,4,Khong co kho khan gi,5,5,3,4,4,Co the,5,4,3,Co ban bao cao tu dong,10
GV0059,Giang vien,DH Thuong mai,Y khoa,Nam,36,TS,4,3,SPSS,3,3,Khong co tai lieu tieng Viet,2,2,5,5,4,Co,10,3,5,Ho tro nhieu dinh dang file,12
SV0102,Sinh vien,DH Can Tho,Xa hoi hoc,Nu,19,Dai hoc,3,3,Excel,4,4,Thieu tinh nang can thiet,4,4,5,4,3,Khong,5,4,5,Tich hop AI de goi y phan tich,14
SV0215,Sinh vien,DH Ton Duc Thang,Tai chinh - Ngan hang,Nam,23,Dai hoc,2,3,Khong su dung,1,2,Giao dien phuc tap,4,3,5,4,5,Co the,10,5,2,Ho tro nhieu dinh dang file,15
SV0167,Sinh vien,DH Bach khoa HN,Tai chinh - Ngan hang,Nam,19,Dai hoc,5,3,SPSS,4,4,Khong duoc dao tao su dung,4,4,4,5,3,Khong,5,5,2,Co huong dan su dung chi tiet,20
GV0008,Giang vien,DH Kinh te TP.HCM,Luat,Nu,43,TS,15,3,Excel,1,2,Khong duoc dao tao su dung,2,4,5,3,3,Co,20,4,3,Mien phi cho sinh vien,18
SV0121,Sinh vien,DH Hoa Sen,Tai chinh - Ngan hang,Nu,22,Dai hoc,4,3,Excel,1,3,Chi phi ban quyen cao,4,5,5,1,4,Co the,10,4,5,Co huong dan su dung chi tiet,17
SV0037,Sinh vien,DH Quoc gia HN,Luat,Nu,21,Dai hoc,5,2,Excel,3,4,Giao dien phuc tap,4,3,2,3,4,Co,5,4,3,Co giao dien tieng Viet,11
SV0060,Sinh vien,DH Hue,Y khoa,Nam,20,Dai hoc,1,3,Excel,3,2,Khong co kho khan gi,4,5,4,4,2,Co,0,4,4,Ho tro nhieu dinh dang file,17
GV0044,Giang vien,DH Kinh te TP.HCM,Cong nghe thong tin,Nu,51,ThS,21,4,Excel,5,4,Giao dien phuc tap,4,4,5,5,4,Co the,0,5,3,Co ban bao cao tu dong,13
GV0029,Giang vien,DH Kinh te Quoc dan,Luat,Nu,39,PGS.TS,9,3,SPSS,3,3,Khong duoc dao tao su dung,5,5,5,5,3,Co the,10,4,5,Ho tro nhieu dinh dang file,21
SV0015,Sinh vien,DH Thuong mai,Cong nghe thong tin,Nam,20,Dai hoc,5,1,Excel,1,2,Thieu tinh nang can thiet,3,5,4,4,5,Co the,0,5,3,Co ban bao cao tu dong,9
SV0081,Sinh vien,DH Hue,Ngu van,Nu,23,Dai hoc,1,3,Excel,4,4,Chi phi ban quyen cao,2,4,5,2,2,Co the,0,4,4,Ho tro nhieu dinh dang file,10
SV0091,Sinh vien,DH Thuong mai,Marketing,Nu,18,Dai hoc,4,3,SPSS,3,1,Khong duoc dao tao su dung,4,4,5,4,4,Co,0,4,5,Ho tro nhieu dinh dang file,13
GV0056,Giang vien,DH Da Nang,Cong nghe thong tin,Nu,40,TS,11,4,Python,5,4,Khong co tai lieu tieng Viet,4,2,5,5,2,Co,10,5,4,Co huong dan su dung chi tiet,16
SV0027,Sinh vien,DH Kinh te TP.HCM,Ky thuat,Nam,23,Dai hoc,5,3,Khong su dung,4,3,Thieu tinh nang can thiet,4,1,3,4,4,Co,5,3,4,Co giao dien tieng Viet,22
SV0054,Sinh vien,DH Ton Duc Thang,Ke toan - Kiem toan,Nam,22,Dai hoc,4,3,Khac,1,3,Khong co tai lieu tieng Viet,4,3,4,5,3,Co the,5,2,3,Co giao dien tieng Viet,21
SV0023,Sinh vien,DH Bach khoa HN,Tai chinh - Ngan hang,Nam,24,Dai hoc,1,5,SPSS,2,4,Giao dien phuc tap,1,3,4,5,2,Co,5,3,4,Mien phi cho sinh vien,14
GV0013,Giang vien,DH Bach khoa HN,Luat,Nu,57,TS,24,3,R,1,5,Khong co tai lieu tieng Viet,4,1,4,5,2,Co,0,4,5,Tich hop AI de goi y phan tich,19
SV0172,Sinh vien,DH Kinh te Quoc dan,Marketing,Nu,24,Dai hoc,2,4,Khong su dung,1,2,Giao dien phuc tap,5,3,4,5,4,Co,10,4,4,Co giao dien tieng Viet,18
SV0129,Sinh vien,DH Su pham HN,Marketing,Nu,23,Dai hoc,2,3,Excel,3,4,Khong co tai lieu tieng Viet,4,3,4,3,5,Co the,0,2,5,Co huong dan su dung chi tiet,13
GV0003,Giang vien,DH Ngoai thuong,Xa hoi hoc,Nam,48,TS,19,4,SPSS,1,3,Khong duoc dao tao su dung,5,4,5,4,4,Co,20,4,3,Mien phi cho sinh vien,28
SV0108,Sinh vien,DH Hue,Giao duc hoc,Nu,24,Dai hoc,2,4,Excel,3,4,Thieu tinh nang can thiet,3,5,5,4,4,Co,5,4,4,Co huong dan su dung chi tiet,18
SV0146,Sinh vien,DH Ngoai thuong,Ky thuat,Nam,23,Dai hoc,3,4,Python,1,4,Thieu tinh nang can thiet,4,3,5,4,4,Co,0,5,2,Co huong dan su dung chi tiet,12
SV0187,Sinh vien,DH Kinh te TP.HCM,Ky thuat,Nu,20,Dai hoc,1,4,SPSS,2,5,Thieu tinh nang can thiet,5,4,4,4,5,Co,0,5,5,Co huong dan su dung chi tiet,9
SV0028,Sinh vien,DH Su pham HN,Marketing,Nam,23,Dai hoc,1,3,Khong su dung,1,2,Thieu tinh nang can thiet,3,3,5,4,5,Co the,0,2,1,Ho tro nhieu dinh dang file,8
